date,meantemp,humidity,wind_speed,meanpressure
1/2/2010,15.91304348,85.86956522,2.743478261,59
1/3/2010,18.5,77.22222222,2.894444444,1018.277778
1/4/2010,17.11111111,81.88888889,4.016666667,1018.333333
1/5/2010,18.7,70.05,4.545,1015.7
1/6/2010,18.38888889,74.94444444,3.3,1014.333333
1/7/2010,19.31818182,79.31818182,8.681818182,1011.772727
1/8/2010,14.70833333,95.83333333,10.04166667,1011.375
1/9/2010,15.68421053,83.52631579,1.95,1015.55
1/10/2010,14.57142857,80.80952381,6.542857143,1015.952381
1/11/2010,12.11111111,71.94444444,9.361111111,1016.888889
1/12/2010,11,72.11111111,9.772222222,1016.777778
1/1/2011,11.78947368,74.57894737,6.626315789,1016.368421
1/2/2011,13.23529412,67.05882353,6.435294118,1017.529412
1/3/2011,13.2,74.28,5.276,1018.84
1/4/2011,16.43478261,72.56521739,3.630434783,1018.130435
1/5/2011,35.65,15.45,10.38,1017.15
1/6/2011,11.72222222,84.44444444,8.038888889,1018.388889
1/7/2011,13.04166667,78.33333333,6.029166667,1021.958333
1/8/2011,14.61904762,75.14285714,10.33809524,1022.809524
1/9/2011,15.26315789,66.47368421,11.22631579,1021.789474
1/10/2011,15.39130435,70.86956522,13.69565217,1020.478261
1/11/2011,18.44,76.24,5.868,1021.04
1/12/2011,18.11764706,76,6.752941176,1019.823529
1/1/2012,18.34782609,68.13043478,3.391304348,1018.869565
1/2/2012,21,69.96,8.756,1018.4
1/3/2012,16.17857143,91.64285714,8.467857143,1017.785714
1/4/2012,16.5,77.04166667,14.35833333,1018.125
1/5/2012,14.86363636,82.77272727,9.690909091,1019.636364
1/6/2012,15.66666667,81.77777778,10.29444444,1017.388889
1/7/2012,16.44444444,77.55555556,4.322222222,1015.833333
1/8/2012,16.125,76,4.625,1015.5
1/9/2012,15.25,78.625,5.1,1017.5
1/10/2012,17.09090909,66.54545455,3.027272727,1018.909091
1/11/2012,15.63636364,78.18181818,1.854545455,1017.727273
1/12/2012,18.7,77.6,9.82,1014.4
1/1/2013,18.63157895,77.63157895,8.1,1014.210526
1/2/2013,16.88888889,69.66666667,9.044444444,1016
1/3/2013,15.125,63.75,7.6375,1016.125
1/4/2013,15.7,68.4,4.08,1015.6
1/5/2013,15.375,68.375,7.875,1016.375
1/6/2013,14.66666667,71.77777778,9.066666667,1015.666667
1/7/2013,15.625,64,3.95,1016.625
1/8/2013,16.25,70.375,1.625,1019.625
1/9/2013,16.33333333,67,6.377777778,1021.555556
1/10/2013,16.875,65.5,6.9625,1021.375
1/11/2013,17.57142857,67.71428571,5.557142857,1020.571429
1/12/2013,20.25,56.75,10.4375,1017.625
1/1/2014,21.3,64.4,9.28,1016.5
1/2/2014,21.125,70.75,6.25,1016.25
1/3/2014,22.36363636,66.09090909,6.054545455,1013
1/4/2014,23.375,60.125,6.9375,1005.375
1/5/2014,21.83333333,69.41666667,12.34166667,1007.416667
1/6/2014,19.125,57.125,7.4125,1012.25
1/7/2014,18.625,42.875,14.35,1015.25
1/8/2014,19.125,40.375,16.6625,1016.125
1/9/2014,19,50.42857143,11.92857143,1014.285714
1/10/2014,18.75,59,11.1125,1012.375
1/11/2014,19.875,58.375,5.1,1014.25
1/12/2014,23.33333333,51.66666667,3.911111111,1013.111111
1/1/2015,24.46153846,47.92307692,6.415384615,1012.923077
1/2/2015,23.75,54.25,5.93,1012.15
1/3/2015,20.5,42.5,7.4125,1010.625
1/4/2015,19.125,43.125,8.35,1010
1/5/2015,19.75,41.25,9.9625,1010.5
1/6/2015,20,42.44444444,9.666666667,1010.333333
1/7/2015,22.625,41.5,6.025,1007.375
1/8/2015,21.54545455,52.72727273,10.26363636,1008.909091
1/9/2015,20.78571429,69.07142857,8.342857143,1007.357143
1/10/2015,19.9375,67.75,11.4625,1006.875
1/11/2015,18.53333333,60.4,5.566666667,1009.8
1/12/2015,17.375,56.625,7.6375,1014.75
1/1/2016,17.44444444,49.33333333,9.055555556,1014.888889
1/2/2016,18,56.33333333,4.522222222,1016.555556
1/3/2016,19.875,54.75,7.175,1014.125
1/4/2016,24,49.2,5.56,1011.1
1/5/2016,20.9,59.7,11.49,1010.7
1/6/2016,24.69230769,46.30769231,7.123076923,1009.846154
1/7/2016,24.66666667,52.27777778,9.161111111,1011.888889
1/8/2016,23.33333333,54.66666667,10.07777778,1012.555556
1/9/2016,25,49,9.2625,1011.75
1/10/2016,27.25,45,10.1875,1009.75
1/11/2016,28,49.75,3.4875,1008.875
1/12/2016,28.91666667,37.66666667,10.03333333,1010.583333
1/1/2017,26.5,39.375,10.425,1009.875
1/2/2017,29.1,37.1,17.59,1010.2
1/3/2017,29.5,38.625,13.65,1009.5
1/4/2017,29.88888889,40.66666667,8.844444444,1009
1/5/2017,31,34.5,13.2,1007.125
1/6/2017,29.28571429,36.85714286,10.58571429,1007.142857
1/7/2017,30.625,37.625,6.95,1007.5
1/8/2017,31.375,35.125,9.0375,1005
1/9/2017,29.75,33.75,9.2625,1004.25
1/10/2017,30.5,29.75,6.9375,1004.25
1/11/2017,30.93333333,31.86666667,14.32,1007.2
1/12/2017,29.23076923,46,14.38461538,1005
1/1/2018,31.22222222,26,13.57777778,1002.888889
1/2/2018,27,29.875,4.65,1007.375
1/3/2018,25.625,29.375,8.3375,1010.375
1/4/2018,27.125,21.125,14.125,1010.625
1/5/2018,27.85714286,19.42857143,19.31428571,1008.571429
1/6/2018,29.25,17.75,15.5125,1006.25
1/7/2018,29.25,26,9.4875,1005.875
1/8/2018,29.66666667,29.11111111,4.944444444,1006.777778
1/9/2018,30.5,37.625,1.3875,1004.625
1/10/2018,31.22222222,30.44444444,5.966666667,1002.444444
1/11/2018,31,34.25,2.1,1003.25
1/12/2018,32.55555556,38.44444444,5.366666667,1004.444444
1/1/2019,34,27.33333333,7.811111111,1003.111111
1/2/2019,33.5,24.125,9.025,1000.875
1/3/2019,34.5,27.5,5.5625,998.625
1/4/2019,34.25,39.375,6.9625,999.875
1/5/2019,32.9,40.9,8.89,1001.6
1/6/2019,32.875,27.5,9.9625,1002.125
1/7/2019,32,27.14285714,12.15714286,1004.142857
